feature_dim,lda_components,classifier,seed,accuracy,projection_sec,lda_fit_sec,lda_transform_train_sec,lda_transform_test_sec,classifier_train_sec,evaluation_sec,total_runtime_sec
256,10,logistic,3,0.232,0.16028883296530694,0.3417742919991724,0.01482725003734231,0.004545667034108192,3.4058038339717314,0.004641583014745265,3.9339739999268204
256,10,sgd,3,0.1711,0.16028883296530694,0.37318833300378174,0.012675083009526134,0.0033365419949404895,0.4755443339818157,0.002841459005139768,1.0281697079190053
256,20,logistic,3,0.3213,0.16028883296530694,0.3556345829856582,0.01309462497010827,0.0035024170065298676,3.5550017500063404,0.005585832986980677,4.094338791968767
256,20,sgd,3,0.2251,0.16028883296530694,0.3892535000341013,0.01423170801717788,0.005277584015857428,0.6038974589901045,0.002365624997764826,1.1756512499414384
256,40,logistic,3,0.386,0.16028883296530694,0.35661741701187566,0.014119334053248167,0.0029919579974375665,3.3135387080255896,0.004824083007406443,3.852871040988248
256,40,sgd,3,0.2565,0.16028883296530694,0.3719522920437157,0.013823708985000849,0.003399459004867822,0.8076753329951316,0.0023095409851521254,1.3603347080061212
256,80,logistic,3,0.4179,0.16028883296530694,0.37062129098922014,0.014486250001937151,0.003923207987099886,3.9965998340048827,0.0077231249888427556,4.554273082932923
256,80,sgd,3,0.3948,0.16028883296530694,0.37461141601670533,0.014067333017010242,0.00617095798952505,1.1883916670340113,0.0025784169556573033,1.7469993739505298
256,99,logistic,3,0.4242,0.16028883296530694,0.3743087080074474,0.02299054095055908,0.0033208749955520034,4.247891958046239,0.017308458976913244,4.830244499957189
256,99,sgd,3,0.4037,0.16028883296530694,0.3907474169973284,0.013813833007588983,0.006170124979689717,1.4946999170351774,0.002637457975652069,2.069314749969635
512,2,logistic,4,0.0846,0.0,0.8718550839694217,0.028762708010617644,0.007221541018225253,2.413477417023387,0.006410041998606175,3.32825166702969
512,2,sgd,4,0.065,0.0,0.8555466670077294,0.02678312500938773,0.01107124995905906,0.47796816600020975,0.0020173750235699117,1.3737892500357702
512,5,logistic,4,0.1652,0.0,0.7874134170124307,0.02695674996357411,0.005639500042889267,3.0443282920168713,0.006932791031431407,3.8717127919662744
512,5,sgd,4,0.1194,0.0,0.9978055829997174,0.04919950000476092,0.014439957973081619,0.46817183296661824,0.003353291016537696,1.5336495420197025
512,10,logistic,4,0.2411,0.0,0.8730361660127528,0.029997500008903444,0.008749041007831693,3.4715942079783417,0.006715667026583105,4.3914048339938745
512,10,sgd,4,0.1702,0.0,0.8693293329561129,0.025655792036559433,0.014306209050118923,0.47709229099564254,0.0024309169966727495,1.3892146669677459
512,20,logistic,4,0.3211,0.0,0.7885443749837577,0.027520500007085502,0.005673708976246417,3.192820666998159,0.006196542002726346,4.021362499974202
512,20,sgd,4,0.2137,0.0,0.8993850839906372,0.028806834015995264,0.01251654204679653,0.6927280840463936,0.0027296250336803496,1.6367566250264645
512,40,logistic,4,0.395,0.0,0.9547997090267017,0.027398250007536262,0.01676079200115055,3.1118392909993418,0.0076420420082286,4.118902541988064
512,40,sgd,4,0.3115,0.0,0.9216062920168042,0.027723333972971886,0.011814875004347414,0.7782380839926191,0.002556249964982271,1.7423464579624124
512,80,logistic,4,0.422,0.0,0.8082919169683009,0.029414916993118823,0.008276500040665269,3.971878165961243,0.006291957979556173,4.825326499994844
512,80,sgd,4,0.4058,0.0,0.8566331249894574,0.03863620798802003,0.013854874996468425,1.353377667022869,0.005622708995360881,2.2724438750301488
512,99,logistic,4,0.4263,0.0,0.7969287500018254,0.02665312500903383,0.005427250056527555,4.195710250001866,0.011024083010852337,5.03842983400682
512,99,sgd,4,0.4108,0.0,0.8842180829960853,0.027913249970879406,0.011239124985877424,1.536822874972131,0.0025407909997738898,2.463638333021663
256,2,logistic,4,0.0822,0.12181933299871162,0.40412383404327556,0.016919707995839417,0.009338500036392361,2.3749918750254437,0.00550537504022941,2.933668957964983
256,2,sgd,4,0.0635,0.12181933299871162,0.35983833397040144,0.014178165991324931,0.003625250014010817,0.4519184160162695,0.0024947919882833958,0.9541623329860158
