method,components,seed,accuracy,reduction_fit_sec,reduction_transform_train_sec,reduction_transform_test_sec,classifier_train_sec,evaluation_sec,total_runtime_sec
rp,20,4,0.2349,0.256284708972089,0.019051500014029443,0.04241870902478695,17.713513750000857,0.14470195799367502,18.175970626005437
rp,40,0,0.3085,0.8984816670417786,0.030152541992720217,0.03833304101135582,25.645668833050877,0.14361112500773743,26.75624720810447
rp,40,1,0.3065,0.969451165990904,0.09749366698088124,0.19818791700527072,22.515081750054378,0.40950466599315405,24.189719166024588
rp,40,2,0.3056,1.6290820409776643,0.05473195796366781,0.16522633301792666,25.11993129196344,0.11914891598280519,27.088120539905503
rp,40,3,0.3049,1.3803725420148112,0.05706154101062566,0.19446158298524097,22.032286082976498,0.07202529202913865,23.736207041016314
rp,40,4,0.3093,0.8479872079915367,0.02982845902442932,0.19294129201443866,23.26570862502558,0.3557308329618536,24.69219641701784
rp,80,0,0.368,2.782886500004679,2.037729334027972,0.3402364589856006,19.99990912503563,0.2263778749620542,25.387139293015935
rp,80,1,0.366,1.7773552080034278,0.03027049999218434,0.2822059999452904,23.850681583979167,0.011199874978046864,25.951713166898116
rp,80,2,0.367,0.04139320901595056,0.019637542020063847,0.008594000013545156,20.465301709016785,0.011793999990914017,20.54672046005726
rp,80,3,0.3688,0.04227645799983293,0.01620516600087285,0.009708166006021202,22.227846499998122,0.009581249963957816,22.305617539968807
rp,80,4,0.3694,0.39492508402327076,0.020424208021722734,0.010671208030544221,19.335288874979597,0.012086874980013818,19.773396250035148
rp,99,0,0.3777,0.0721432919963263,0.02511512499768287,0.03388870903290808,28.695956874988042,0.040307542018126696,28.867411543033086
rp,99,1,0.3827,0.20168054202804342,0.09518220904283226,0.043790124997030944,44.075788750022184,0.1572160409996286,44.57365766708972
rp,99,2,0.3819,0.8433367920224555,0.12874783296138048,0.35143858299124986,37.75562075001653,0.3514414170058444,39.43058537499746
rp,99,3,0.3839,3.365243082982488,0.2532365840161219,0.2948215830256231,49.60034166701371,0.2830959999701008,53.79673891700804
rp,99,4,0.3804,1.9129623330081813,0.03270395798608661,0.35600016597891226,22.35562808299437,0.23477549996459857,24.89207003993215
